keyword,result_id,type,title,link,authors,journal,year,snippet,full_abstract,publication,cited_by,cited_by_link,related_pages_link,versions_link,pdf_url
Geographical tourism,BjI-DDXXE3UJ,,Geography and tourism,https://www.sciencedirect.com/science/article/pii/016073839190039E,"LS Mitchell, PE Murphy",Annals of Tourism Research,1991,"… Tourism geography’s genealogy has been traced to the 1920s in the United … a tourism topic in a major US geographic journal was published in 1933, and a continuous thread of tourism …",,"LS Mitchell, PE Murphy - Annals of Tourism Research, 1991 - Elsevier",270,"https://scholar.google.com/scholar?cites=8436323149833712134&as_sdt=5,39&sciodt=0,39&hl=en&num=20","https://scholar.google.com/scholar?q=related:BjI-DDXXE3UJ:scholar.google.com/&scioq=Geographical+tourism&hl=en&num=20&as_sdt=0,39","https://scholar.google.com/scholar?cluster=8436323149833712134&hl=en&num=20&as_sdt=0,39",
Geographical tourism,s4i0qJjapOcJ,,The application of geographical information systems (GIS) in sustainable tourism planning: A review,https://www.tandfonline.com/doi/abs/10.1080/09669589908667333,"T Bahaire, M Elliott-White",Journal of Sustainable Tourism,1999,"… on the effect of planning decisions on the tourism resource. Furthermore, this … tourism resources are, how intensively the resource is used and so on. This suggests that geographical …",,"T Bahaire, M Elliott-White - Journal of Sustainable Tourism, 1999 - Taylor & Francis",449,"https://scholar.google.com/scholar?cites=16691706468142188723&as_sdt=5,39&sciodt=0,39&hl=en&num=20","https://scholar.google.com/scholar?q=related:s4i0qJjapOcJ:scholar.google.com/&scioq=Geographical+tourism&hl=en&num=20&as_sdt=0,39","https://scholar.google.com/scholar?cluster=16691706468142188723&hl=en&num=20&as_sdt=0,39",
Geographical tourism,QWR6jmGboVgJ,,Towards a geography of tourism,https://www.sciencedirect.com/science/article/pii/0160738379901014,DG Pearce,Annals of Tourism Research,1979,"… a Geography of Tourism,"" Annals of Tourism Research, July/… geographical interest in tourism during the past half century and examines the range and scope of the geography of tourism. …",,"DG Pearce - Annals of Tourism Research, 1979 - Elsevier",313,"https://scholar.google.com/scholar?cites=6386556589892592705&as_sdt=5,39&sciodt=0,39&hl=en&num=20","https://scholar.google.com/scholar?q=related:QWR6jmGboVgJ:scholar.google.com/&scioq=Geographical+tourism&hl=en&num=20&as_sdt=0,39","https://scholar.google.com/scholar?cluster=6386556589892592705&hl=en&num=20&as_sdt=0,39",
Geographical tourism,2Nps2zyPNLsJ,,Tourism and sustainable water supply in Mallorca: a geographical analysis,https://www.sciencedirect.com/science/article/pii/S0143622802000504,"M Kent, R Newnham, S Essex",Applied geography,2002,… in tourist resorts are becoming an increasingly common and important issue in applied geography and … This paper examines the relationships between tourism and water supply on the …,,"M Kent, R Newnham, S Essex - Applied geography, 2002 - Elsevier",226,"https://scholar.google.com/scholar?cites=13489564275423632088&as_sdt=5,39&sciodt=0,39&hl=en&num=20","https://scholar.google.com/scholar?q=related:2Nps2zyPNLsJ:scholar.google.com/&scioq=Geographical+tourism&hl=en&num=20&as_sdt=0,39","https://scholar.google.com/scholar?cluster=13489564275423632088&hl=en&num=20&as_sdt=0,39",
Geographical tourism,Ux8Z-5_nZ40J,,Tourism and the geographical imagination,https://www.tandfonline.com/doi/abs/10.1080/02614369100390291,G Hughes,Leisure studies,1992,… here that this 'tourist map' is an apt metaphor to describe a geography of the imagination… tourism in this process of transformation and the implications this may have for the geographical …,,"G Hughes - Leisure studies, 1992 - Taylor & Francis",210,"https://scholar.google.com/scholar?cites=10189367356247580499&as_sdt=5,39&sciodt=0,39&hl=en&num=20","https://scholar.google.com/scholar?q=related:Ux8Z-5_nZ40J:scholar.google.com/&scioq=Geographical+tourism&hl=en&num=20&as_sdt=0,39","https://scholar.google.com/scholar?cluster=10189367356247580499&hl=en&num=20&as_sdt=0,39",
Geographical tourism,l1YIOE7Sq28J,,"Geographical research on tourism, recreation and leisure: origins, eras and directions",https://www.tandfonline.com/doi/abs/10.1080/1461668042000208453,R Butler,Tourism Geographies,2004,… in the Annals of Tourism Research in 1979 on ‘The geography of tourism: an introduction’ … of Tourism Research (with Murphy in 1991). The special issues of Annals of Tourism Research …,,"R Butler - Tourism Geographies, 2004 - Taylor & Francis",189,"https://scholar.google.com/scholar?cites=8046756392616875671&as_sdt=5,39&sciodt=0,39&hl=en&num=20","https://scholar.google.com/scholar?q=related:l1YIOE7Sq28J:scholar.google.com/&scioq=Geographical+tourism&hl=en&num=20&as_sdt=0,39","https://scholar.google.com/scholar?cluster=8046756392616875671&hl=en&num=20&as_sdt=0,39",
Geographical tourism,7017Yc3gnaEJ,,Framing tourism geography: Notes from the underground,https://www.sciencedirect.com/science/article/pii/S0160738313000959,CM Hall,Annals of Tourism Research,2013,"… Tourism geography is a significant contributor to the study of tourism, yet is generally perceived as marginal to geography. The review frames contemporary tourism geography by …",,"CM Hall - Annals of Tourism Research, 2013 - Elsevier",154,"https://scholar.google.com/scholar?cites=11645711384158359023&as_sdt=5,39&sciodt=0,39&hl=en&num=20","https://scholar.google.com/scholar?q=related:7017Yc3gnaEJ:scholar.google.com/&scioq=Geographical+tourism&hl=en&num=20&as_sdt=0,39","https://scholar.google.com/scholar?cluster=11645711384158359023&hl=en&num=20&as_sdt=0,39",
Geographical tourism,LiJwyzYSAzwJ,Book,"The geography of tourism and recreation: Environment, place and space",https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.4324/9780203796092&type=googlepdf,"CM Hall, SJ Page",2014,2014,"… Geography of Tourism and Recreation provides students with a comprehensive introduction to the interrelationship between tourism, leisure and recreation from geographical … , tourism …",,"CM Hall, SJ Page - 2014 - api.taylorfrancis.com",3678,"https://scholar.google.com/scholar?cites=4324320093756465710&as_sdt=5,39&sciodt=0,39&hl=en&num=20","https://scholar.google.com/scholar?q=related:LiJwyzYSAzwJ:scholar.google.com/&scioq=Geographical+tourism&hl=en&num=20&as_sdt=0,39","https://scholar.google.com/scholar?cluster=4324320093756465710&hl=en&num=20&as_sdt=0,39",http://ndl.ethernet.edu.et/bitstream/123456789/18071/1/27.pdf
Geographical tourism,9IgPLwxwOt4J,,Historical and geographical context in festival tourism development,https://www.tandfonline.com/doi/abs/10.1080/1743873X.2011.611595,"L Ma, AA Lew",Journal of Heritage tourism,2012,"… tourist experience, though tourism is not necessarily a justification or goal of a festival. Tourism, … Within tourism studies, research on festival tourism is a specialty field that has steadily …",,"L Ma, AA Lew - Journal of Heritage tourism, 2012 - Taylor & Francis",166,"https://scholar.google.com/scholar?cites=16013234622700685556&as_sdt=5,39&sciodt=0,39&hl=en&num=20","https://scholar.google.com/scholar?q=related:9IgPLwxwOt4J:scholar.google.com/&scioq=Geographical+tourism&hl=en&num=20&as_sdt=0,39","https://scholar.google.com/scholar?cluster=16013234622700685556&hl=en&num=20&as_sdt=0,39",https://www.researchgate.net/profile/Alan-Lew/publication/241731392_Historical_and_geographical_context_in_festival_tourism_development/links/56a410de08aeef24c589d452/Historical-and-geographical-context-in-festival-tourism-development.pdf
Geographical tourism,PH7cTd83xxcJ,,"Tourism, capital, and place: Towards a critical geography of tourism",https://journals.sagepub.com/doi/abs/10.1068/d090451,S Britton,Environment and planning D: society and space,1991,"… In this essay I argue that the geographic study of tourism requires a more rigorous core of theory in order to conceptualise fully its role in capitalist accumulation, its economic dynamics, …",,"S Britton - Environment and planning D: society and space, 1991 - journals.sagepub.com",1751,"https://scholar.google.com/scholar?cites=1713399615461293628&as_sdt=5,39&sciodt=0,39&hl=en&num=20","https://scholar.google.com/scholar?q=related:PH7cTd83xxcJ:scholar.google.com/&scioq=Geographical+tourism&hl=en&num=20&as_sdt=0,39","https://scholar.google.com/scholar?cluster=1713399615461293628&hl=en&num=20&as_sdt=0,39",https://www.academia.edu/download/48868743/Tourism_capital__place-BRITTON_1990.pdf
Geographical tourism,pMBHffs3etQJ,,Geography and tourism,https://www.tandfonline.com/doi/abs/10.1080/00385417.1975.10640064,YK Yefremov,Soviet Geography,1975,… being displayed by various socio-geographic disciplines in the problems of tourism. Equal interest in these problems is being demonstrated by the physical branches of geography. …,,"YK Yefremov - Soviet Geography, 1975 - Taylor & Francis",11,"https://scholar.google.com/scholar?cites=15310611436477595812&as_sdt=5,31&sciodt=0,31&hl=en&num=20","https://scholar.google.com/scholar?q=related:pMBHffs3etQJ:scholar.google.com/&scioq=Geographical+tourism&hl=en&num=20&as_sdt=0,31",,
Geographical tourism,zasdfhHR8V4J,Pdf,"Festival tourism–the concept, key functions and dysfunctions in the context of tourism geography studies",https://www.researchgate.net/profile/Waldemar-Cudny/publication/256418083_Cudny_Waldemar_2013_FESTIVAL_TOURISM_-_THE_CONCEPT_KEY_FUNCTIONS_AND_DYSFUNCTIONS_IN_THE_CONTEXT_OF_TOURISM_GEOGRAPHY_STUDIES_GEOGRAFICKY_CASOPIS_GEOGRAPHICAL_JOURNAL_65_2013_2_105-118/links/00463523dae03ae73c000000/Cudny-Waldemar-2013-FESTIVAL-TOURISM-THE-CONCEPT-KEY-FUNCTIONS-AND-DYSFUNCTIONS-IN-THE-CONTEXT-OF-TOURISM-GEOGRAPHY-STUDIES-GEOGRAFICKY-CASOPIS-GEOGRAPHICAL-JOURNAL-65-2013-2-105-118.pdf?_sg%5B0%5D=started_experiment_milestone&origin=journalDetail,W Cudny,Geographical journal,2013,"… tourism. The aim of this article is to compensate for the shortage of geographical works concerning festival tourism… study in tourism geography, to provide the definition of festival tourism, …",,"W Cudny - Geographical journal, 2013 - researchgate.net",202,"https://scholar.google.com/scholar?cites=6841479182013017037&as_sdt=5,31&sciodt=0,31&hl=en&num=20","https://scholar.google.com/scholar?q=related:zasdfhHR8V4J:scholar.google.com/&scioq=Geographical+tourism&hl=en&num=20&as_sdt=0,31","https://scholar.google.com/scholar?cluster=6841479182013017037&hl=en&num=20&as_sdt=0,31",https://www.researchgate.net/profile/Waldemar-Cudny/publication/256418083_Cudny_Waldemar_2013_FESTIVAL_TOURISM_-_THE_CONCEPT_KEY_FUNCTIONS_AND_DYSFUNCTIONS_IN_THE_CONTEXT_OF_TOURISM_GEOGRAPHY_STUDIES_GEOGRAFICKY_CASOPIS_GEOGRAPHICAL_JOURNAL_65_2013_2_105-118/links/00463523dae03ae73c000000/Cudny-Waldemar-2013-FESTIVAL-TOURISM-THE-CONCEPT-KEY-FUNCTIONS-AND-DYSFUNCTIONS-IN-THE-CONTEXT-OF-TOURISM-GEOGRAPHY-STUDIES-GEOGRAFICKY-CASOPIS-GEOGRAPHICAL-JOURNAL-65-2013-2-105-118.pdf?_sg%5B0%5D=started_experiment_milestone&origin=journalDetail
Geographical tourism,Nu4K0PcI-tUJ,,Geography and tourism,https://almatourism.unibo.it/article/view/1713,GC Pellegrini,Almatourism-Journal of Tourism,2009,"… by the tourist is … , the tourism process enables to experience different realities, with particular reference to unusual landscapes, lifestyle and even cuisine. Although involving the tourist’s …",,"GC Pellegrini - Almatourism-Journal of Tourism, Culture and …, 2009 - almatourism.unibo.it",79,"https://scholar.google.com/scholar?cites=15418646134696635958&as_sdt=5,31&sciodt=0,31&hl=en&num=20","https://scholar.google.com/scholar?q=related:Nu4K0PcI-tUJ:scholar.google.com/&scioq=Geographical+tourism&hl=en&num=20&as_sdt=0,31","https://scholar.google.com/scholar?cluster=15418646134696635958&hl=en&num=20&as_sdt=0,31",https://almatourism.unibo.it/article/download/1713/1084
Geographical tourism,zsbRx1J_ShQJ,,Reconsidering the geography of tourism and contemporary mobility,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1745-5871.2005.00308.x,CM Hall,Geographical Research,2005,"… By placing mobility at the heart of our understanding of tourism, the geography of tourism may also be able to make a greater contribution to human geography, given the contemporary …",,"CM Hall - Geographical Research, 2005 - Wiley Online Library",387,"https://scholar.google.com/scholar?cites=1462121022551606990&as_sdt=5,31&sciodt=0,31&hl=en&num=20","https://scholar.google.com/scholar?q=related:zsbRx1J_ShQJ:scholar.google.com/&scioq=Geographical+tourism&hl=en&num=20&as_sdt=0,31","https://scholar.google.com/scholar?cluster=1462121022551606990&hl=en&num=20&as_sdt=0,31",ftp://ftp.puce.edu.ec/Facultades/CienciasHumanas/Ecoturismo/ArticulosTurismo/Art%C3%ADculos%20cient%C3%ADficos/Documentos%20generales/geografia_turismo_movilidad.pdf
Geographical tourism,MCHQgUky8kAJ,,Traditions and trends: A review of geographical scholarship in tourism,https://www.tandfonline.com/doi/abs/10.1080/14616680802643219,SK Nepal,Tourism Geographies,2009,"… Part Three outlines emerging trends in tourism geography and the … in tourism geography. With the exception of this journal, given the lack of a distinctly identifiable tourism geography …",,"SK Nepal - Tourism Geographies, 2009 - Taylor & Francis",63,"https://scholar.google.com/scholar?cites=4679858254083268912&as_sdt=5,31&sciodt=0,31&hl=en&num=20","https://scholar.google.com/scholar?q=related:MCHQgUky8kAJ:scholar.google.com/&scioq=Geographical+tourism&hl=en&num=20&as_sdt=0,31","https://scholar.google.com/scholar?cluster=4679858254083268912&hl=en&num=20&as_sdt=0,31",
Geographical tourism,_TOBLAgtbdkJ,Book,Worldwide destinations: The geography of travel and tourism,https://www.taylorfrancis.com/books/mono/10.4324/9781315697666/worldwide-destinations-brian-boniface-chris-cooper-robyn-cooper,"B Boniface, C Cooper, R Cooper",2016,2016,"… tourism demand, evaluating the many types of tourist attractions and examining the trends that may shape the future geography of tourism. … undertaking a course in travel and tourism. …",,"B Boniface, C Cooper, R Cooper - 2016 - taylorfrancis.com",1209,"https://scholar.google.com/scholar?cites=15667228191821476861&as_sdt=5,31&sciodt=0,31&hl=en&num=20","https://scholar.google.com/scholar?q=related:_TOBLAgtbdkJ:scholar.google.com/&scioq=Geographical+tourism&hl=en&num=20&as_sdt=0,31","https://scholar.google.com/scholar?cluster=15667228191821476861&hl=en&num=20&as_sdt=0,31",https://scholar.archive.org/work/j5uobw7445fnfcfqfwtbms6gky/access/wayback/https://s3-euw1-ap-pe-ws4-capi2-distribution-p.s3-eu-west-1.amazonaws.com/books/9780429259302/HUB/googleScholarPdf.pdf?response-content-disposition=attachment%3B%20filename%3D%229780429259302_googlepreview.pdf%22&response-content-type=application%2Fpdf&x-amz-security-token=IQoJb3JpZ2luX2VjEBEaCWV1LXdlc3QtMSJHMEUCIC4WWoXHM0aswYCO6XTAg%2B9mmbp8AK4gBy56Plj4M373AiEAxWl68KRbD0wQ45MKEKvbf0NSmM8ZrwTGdYZutEf19zoqtAMIShACGgwwMTIxNzcyNjQ1MTEiDNIXS2GWNNh2iOHLCyqRAxMNmA6yPl5QbL1z7feXwM8za%2Bo6EC5BqInuuzYh9mBfSUhnWaMkKnYcibpTOgpSudXxe5up8wrDkw%2BMvfgo8oA7xeZXvb8QjCy69KATA8Dpv9cg6RRM%2BG8cQqMG7MtelfHMTw8jQmWHVRMc7%2FfVx%2BdyfY7oX9z8DtB4G9b7pWV4X3IrsUJIgqlQe95uO0PSMdJiQsEIY4kd2oPAgySETSRgh8LK5cow8TMBoxnL6jG4ozEHy3wnt5dEpd0ppm5NoeJYBloc7VlYg5O12qKEtWXZOyAi%2FYEiehgr4QScl27XvlnU65%2BbadlrMJxQQX2A3DmGtPZVEWJmaHEoHLEfijxYq%2Fzeh%2Bg251W1OJQEvSGHkUdP%2FaVr3zE3JfYbveEY278ligiLLN%2Bq01ZXlIC3Bt2Tr%2Bt6jrOyCoUqVZR2fI2pK%2F70Pyf%2FaN2JEdp%2BRHlxRGZwl96pjgkG2YDuy98xgAXjiX7J7StVitiI8NWc2RaI7QAvBeC7bvb9g0OiTjE0jtNf%2FNVzAopFFH%2BlO88que1YMPqngvwFOusBATtltC9L7geIqrQWLkz7hlbi8A5ESygc1R3SkjQ7HSpyiF2kh5BpxBxTPwuFemw5a7lb0dZ1u8wz8rn%2B001QkBBEDOpemi80BjmweAGaclLRLr8A7PWAouCU1jS1nbk1TAviRtr%2BsTmZo0MaxwQ6CiQNoCuYvKqEko4VvkljyvI%2BUdpaOBOoAYy2CjWG5FZWyXrnlP0Yw3zM7hORirVIXbT91WOL0K3Vy3%2F8YRXVPKhintRH4bepnb3SBNga8x41vbCAmjQHcAiVZ2MDctJ7kT4ocUKkdn8CA8%2Fs%2BXh7%2B4%2BjFvfYfKbOXfQGJg%3D%3D&AWSAccessKeyId=ASIAQFVOSJ5733RPDEE7&Expires=1602869304&Signature=LsfK4RmTj9xPQl6Z1zfECC7C11c%3D
Geographical tourism,KER1Y5ONBk8J,,"Tourism geography education: Opportunities, obstacles and the production of tourism geographers",https://www.tandfonline.com/doi/abs/10.1080/14616680802643326,"DA Dornan, D Truly",Tourism Geographies,2009,"… the health of tourism geography education within geography departments in the … tourism geography. More importantly, this article addresses the issue of the future production of tourism …",,"DA Dornan, D Truly - Tourism Geographies, 2009 - Taylor & Francis",32,"https://scholar.google.com/scholar?cites=5694394443024909352&as_sdt=5,31&sciodt=0,31&hl=en&num=20","https://scholar.google.com/scholar?q=related:KER1Y5ONBk8J:scholar.google.com/&scioq=Geographical+tourism&hl=en&num=20&as_sdt=0,31","https://scholar.google.com/scholar?cluster=5694394443024909352&hl=en&num=20&as_sdt=0,31",
Geographical tourism,fN2rwf6LrC8J,,The geography of pilgrimage and tourism: Transformations and implications for applied geography,https://www.sciencedirect.com/science/article/pii/S0143622809000150,N Collins-Kreiner,Applied geography,2010,"… of pilgrimage and tourism and the implications of these types of travel on tourism planning and … century, the pilgrimage phenomenon tends toward a blurring of tourism and pilgrimage. …",,"N Collins-Kreiner - Applied geography, 2010 - Elsevier",411,"https://scholar.google.com/scholar?cites=3435274542064065916&as_sdt=5,31&sciodt=0,31&hl=en&num=20","https://scholar.google.com/scholar?q=related:fN2rwf6LrC8J:scholar.google.com/&scioq=Geographical+tourism&hl=en&num=20&as_sdt=0,31","https://scholar.google.com/scholar?cluster=3435274542064065916&hl=en&num=20&as_sdt=0,31",
Geographical tourism,6AdtV4-o-7QJ,,Violence and dispossession in tourism development: A critical geographical approach,https://www.tandfonline.com/doi/abs/10.1080/09669582.2017.1293401,"J Devine, D Ojeda",Journal of Sustainable Tourism,2017,"… post-colonialism, as well as geographical concepts like space, place, … geographical approach, contributing to new trends in tourism studies that delve into the violence inherent to tourism…",,"J Devine, D Ojeda - Journal of Sustainable Tourism, 2017 - Taylor & Francis",263,"https://scholar.google.com/scholar?cites=13041202479581956072&as_sdt=5,31&sciodt=0,31&hl=en&num=20","https://scholar.google.com/scholar?q=related:6AdtV4-o-7QJ:scholar.google.com/&scioq=Geographical+tourism&hl=en&num=20&as_sdt=0,31","https://scholar.google.com/scholar?cluster=13041202479581956072&hl=en&num=20&as_sdt=0,31",https://www.tandfonline.com/doi/pdf/10.1080/09669582.2017.1293401
Geographical tourism,UTKbLoclymEJ,,The impact of distance on tourism: a tourism geography law,https://www.taylorfrancis.com/chapters/edit/10.4324/9781003152453-8/impact-distance-tourism-tourism-geography-law-bob-mckercher,B McKercher,Tourism spaces,2021,"… of tourism, extending well beyond the volume of tourist movements. It also reflects changes in the types of tourist … This brief will explain how it applies to tourism. Waters (2017) indicates …",,"B McKercher - Tourism spaces, 2021 - taylorfrancis.com",120,"https://scholar.google.com/scholar?cites=7046485829507297873&as_sdt=5,31&sciodt=0,31&hl=en&num=20","https://scholar.google.com/scholar?q=related:UTKbLoclymEJ:scholar.google.com/&scioq=Geographical+tourism&hl=en&num=20&as_sdt=0,31","https://scholar.google.com/scholar?cluster=7046485829507297873&hl=en&num=20&as_sdt=0,31",
Geographical tourism,IQu5JRu5N0sJ,,Approach to formation of enogastronomic tourism based on the geographical indication system,https://geology-dnu.dp.ua/index.php/GG/article/view/969,"LY Matviichuk, MI Lepkyi, YY Dashchuk…",… Geology,2022,"… Changes in the tourism sector are the reasons for the development … tourist routes, related to the use of geographical indication system as a means of individualizing subjects of tourism. …",,"LY Matviichuk, MI Lepkyi, YY Dashchuk… - … Geology, Geography …, 2022 - geology-dnu.dp.ua",16,"https://scholar.google.com/scholar?cites=5420004202811820833&as_sdt=5,31&sciodt=0,31&hl=en&num=20","https://scholar.google.com/scholar?q=related:IQu5JRu5N0sJ:scholar.google.com/&scioq=Geographical+tourism&hl=en&num=20&as_sdt=0,31","https://scholar.google.com/scholar?cluster=5420004202811820833&hl=en&num=20&as_sdt=0,31",https://geology-dnu.dp.ua/index.php/GG/article/download/969/788
